Date	Site	Colony	Local	Caste	No_ants	No_parasitized_ants	A_attophilus	A_vicosae	 N_erthali	M_grandicornis
6-ago.-18	EMB	13	mound	soldier	11	0	0	0	0	0
6-ago.-18	EMB	13	mound	worker	47	0	0	0	0	0
3-set.-18	EMB	8	trial	worker	126	1	1	0	0	0
3-set.-18	EMB	8	trail	worker	327	20	16	2	2	0
3-set.-18	EMB	8	mound	soldier	112	0	0	0	0	0
3-set.-18	EMB	8	mound	worker	124	0	0	0	0	0
3-set.-18	EMB	10	trail	soldier	66	0	0	0	0	0
3-set.-18	EMB	10	trail	worker	386	16	4	11	1	0
3-set.-18	EMB	10	mound	soldier	7	0	0	0	0	0
3-set.-18	EMB	10	mound	worker	30	0	0	0	0	0
3-set.-18	EMB	11	trail	soldier	58	0	0	0	0	0
3-set.-18	EMB	11	trail	worker	114	0	0	0	0	0
3-set.-18	EMB	12	trail	soldier	89	0	0	0	0	0
3-set.-18	EMB	12	trail	worker	335	12	8	0	4	0
3-set.-18	EMB	12	mound	soldier	69	0	0	0	0	0
3-set.-18	EMB	12	mound	worker	90	0	0	0	0	0
24-set.-18	EMB	8	trail	soldier	211	5	0	0	5	0
24-set.-18	EMB	8	trail	worker	422	23	16	2	5	0
24-set.-18	EMB	8	mound	soldier	84	0	0	0	0	0
24-set.-18	EMB	8	mound	worker	116	0	0	0	0	0
24-set.-18	EMB	9	trail	soldier	112	0	0	0	0	0
24-set.-18	EMB	9	trail	worker	145	0	0	0	0	0
24-set.-18	EMB	9	mound	soldier	25	0	0	0	0	0
24-set.-18	EMB	9	mound	worker	97	0	0	0	0	0
24-set.-18	EMB	10	trail	soldier	38	0	0	0	0	0
24-set.-18	EMB	10	trail	worker	223	2	0	2	0	0
24-set.-18	EMB	10	mound	soldier	35	0	0	0	0	0
24-set.-18	EMB	10	mound	worker	52	0	0	0	0	0
24-set.-18	EMB	11	trail	soldier	90	0	0	0	0	0
24-set.-18	EMB	11	trail	worker	315	3	2	0	1	0
24-set.-18	EMB	12	trail	soldier	80	0	0	0	0	0
24-set.-18	EMB	12	trail	worker	306	3	0	0	3	0
24-set.-18	EMB	12	mound	soldier	56	0	0	0	0	0
24-set.-18	EMB	12	mound	worker	118	0	0	0	0	0
8-out.-18	UFT	14	trail	soldier	110	0	0	0	0	0
8-out.-18	UFT	14	trail	worker	411	3	1	1	0	1
8-out.-18	UFT	14	mound	soldier	146	0	0	0	0	0
8-out.-18	UFT	14	mound	worker	422	0	0	0	0	0
8-out.-18	UFT	15	trail	soldier	126	0	0	0	0	0
8-out.-18	UFT	15	trail	worker	209	9	1	0	0	8
8-out.-18	UFT	15	mound	soldier	113	0	0	0	0	0
8-out.-18	UFT	15	mound	worker	103	1	0	0	0	1
8-out.-18	UFT	16	trail	soldier	94	0	0	0	0	0
8-out.-18	UFT	16	trail	worker	352	7	0	2	1	4
22-out.-18	UFT	14	trail	soldier	157	0	0	0	0	0
22-out.-18	UFT	14	trail	worker	459	2	0	0	2	0
22-out.-18	UFT	14	mound	soldier	285	0	0	0	0	0
22-out.-18	UFT	14	mound	worker	418	0	0	0	0	0
22-out.-18	UFT	15	trail	soldier	176	0	0	0	0	0
22-out.-18	UFT	15	trail	worker	212	65	0	5	0	60
22-out.-18	UFT	15	mound	soldier	151	0	0	0	0	0
22-out.-18	UFT	15	mound	worker	216	1	0	0	0	1
22-out.-18	UFT	16	trail	soldier	159	0	0	0	0	0
22-out.-18	UFT	16	trail	worker	414	47	3	22	8	14
5-nov.-18	UFT	14	mound	soldier	151	0	0	0	0	0
5-nov.-18	UFT	14	mound	worker	363	0	0	0	0	0
5-nov.-18	UFT	15	trail	soldier	123	0	0	0	0	0
5-nov.-18	UFT	15	trail	worker	411	126	0	3	3	120
5-nov.-18	UFT	15	mound	soldier	155	0	0	0	0	0
5-nov.-18	UFT	15	mound	worker	355	5	0	0	0	5
5-nov.-18	UFT	16	trail	soldier	121	2	0	0	2	0
5-nov.-18	UFT	16	trail	worker	439	86	3	23	35	25
30-jan.-19	UFT	17	trail	soldier	55	0	0	0	0	0
30-jan.-19	UFT	17	trail	worker	684	11	0	1	3	7
30-jan.-19	UFT	17	mound	soldier	87	0	0	0	0	0
30-jan.-19	UFT	17	mound	worker	733	4	0	0	1	3
30-jan.-19	UFT	18	trail	soldier	59	0	0	0	0	0
30-jan.-19	UFT	18	trail	worker	434	86	0	79	0	7
30-jan.-19	UFT	18	mound	soldier	68	0	0	0	0	0
30-jan.-19	UFT	18	mound	worker	539	4	0	0	0	4
