id	node_type	date	site	colony	local	caste	n_ants	n_parasitized	prevalence
2018-05-30|PAL|5|mound|worker|r1	sample	2018-05-30	PAL	5	mound	worker	70	0	0
2018-05-30|PAL|6|trail|soldier|r1	sample	2018-05-30	PAL	6	trail	soldier	288	0	0
2018-05-30|PAL|6|trail|worker|r1	sample	2018-05-30	PAL	6	trail	worker	323	3	0.929
2018-05-30|PAL|6|mound|soldier|r1	sample	2018-05-30	PAL	6	mound	soldier	156	0	0
2018-05-30|PAL|6|mound|worker|r1	sample	2018-05-30	PAL	6	mound	worker	204	0	0
2018-05-30|PAL|7|trail|soldier|r1	sample	2018-05-30	PAL	7	trail	soldier	124	0	0
2018-05-30|PAL|7|trail|worker|r1	sample	2018-05-30	PAL	7	trail	worker	395	8	2.025
2018-05-30|PAL|7|mound|soldier|r1	sample	2018-05-30	PAL	7	mound	soldier	135	0	0
2018-05-30|PAL|7|mound|worker|r1	sample	2018-05-30	PAL	7	mound	worker	396	0	0
2018-06-26|EMB|8|trail|soldier|r1	sample	2018-06-26	EMB	8	trail	soldier	88	0	0
2018-06-26|EMB|8|trail|worker|r1	sample	2018-06-26	EMB	8	trail	worker	79	1	1.266
2018-06-26|EMB|8|mound|soldier|r1	sample	2018-06-26	EMB	8	mound	soldier	37	0	0
2018-06-26|EMB|8|mound|worker|r1	sample	2018-06-26	EMB	8	mound	worker	88	0	0
2018-06-26|EMB|9|trail|soldier|r1	sample	2018-06-26	EMB	9	trail	soldier	32	0	0
2018-06-26|EMB|9|trail|worker|r1	sample	2018-06-26	EMB	9	trail	worker	78	0	0
2018-06-26|EMB|9|mound|soldier|r1	sample	2018-06-26	EMB	9	mound	soldier	26	0	0
2018-06-26|EMB|9|mound|worker|r1	sample	2018-06-26	EMB	9	mound	worker	52	0	0
2018-06-26|EMB|10|trail|soldier|r1	sample	2018-06-26	EMB	10	trail	soldier	75	1	1.333
2018-06-26|EMB|10|trail|worker|r1	sample	2018-06-26	EMB	10	trail	worker	191	4	2.094
2018-06-26|EMB|10|mound|soldier|r1	sample	2018-06-26	EMB	10	mound	soldier	46	2	4.348
2018-06-26|EMB|10|mound|worker|r1	sample	2018-06-26	EMB	10	mound	worker	62	0	0
2018-06-26|EMB|11|trail|soldier|r1	sample	2018-06-26	EMB	11	trail	soldier	125	0	0
2018-06-26|EMB|11|trail|worker|r1	sample	2018-06-26	EMB	11	trail	worker	68	2	2.941
2018-06-26|EMB|11|mound|soldier|r1	sample	2018-06-26	EMB	11	mound	soldier	143	0	0
2018-06-26|EMB|11|mound|worker|r1	sample	2018-06-26	EMB	11	mound	worker	81	1	1.235
2018-06-26|EMB|12|trail|soldier|r1	sample	2018-06-26	EMB	12	trail	soldier	102	0	0
2018-06-26|EMB|12|trail|worker|r1	sample	2018-06-26	EMB	12	trail	worker	215	34	15.814
2018-06-26|EMB|12|mound|soldier|r1	sample	2018-06-26	EMB	12	mound	soldier	36	0	0
2018-06-26|EMB|12|mound|worker|r1	sample	2018-06-26	EMB	12	mound	worker	78	0	0
2018-06-26|EMB|13|trail|soldier|r1	sample	2018-06-26	EMB	13	trail	soldier	57	0	0
2018-06-26|EMB|13|trail|worker|r1	sample	2018-06-26	EMB	13	trail	worker	101	1	0.99
2018-06-26|EMB|13|mound|soldier|r1	sample	2018-06-26	EMB	13	mound	soldier	21	0	0
2018-06-26|EMB|13|mound|worker|r1	sample	2018-06-26	EMB	13	mound	worker	69	0	0
2018-07-24|EMB|8|trail|soldier|r1	sample	2018-07-24	EMB	8	trail	soldier	45	0	0
2018-07-24|EMB|8|trail|worker|r1	sample	2018-07-24	EMB	8	trail	worker	104	1	0.962
2018-07-24|EMB|8|mound|soldier|r1	sample	2018-07-24	EMB	8	mound	soldier	13	0	0
2018-07-24|EMB|8|mound|worker|r1	sample	2018-07-24	EMB	8	mound	worker	57	0	0
2018-07-24|EMB|9|trail|soldier|r1	sample	2018-07-24	EMB	9	trail	soldier	31	0	0
2018-07-24|EMB|9|trail|worker|r1	sample	2018-07-24	EMB	9	trail	worker	69	0	0
2018-07-24|EMB|9|mound|soldier|r1	sample	2018-07-24	EMB	9	mound	soldier	11	0	0
2018-07-24|EMB|9|mound|worker|r1	sample	2018-07-24	EMB	9	mound	worker	47	0	0
2018-07-24|EMB|10|trail|soldier|r1	sample	2018-07-24	EMB	10	trail	soldier	34	0	0
2018-07-24|EMB|10|trail|worker|r1	sample	2018-07-24	EMB	10	trail	worker	129	1	0.775
2018-07-24|EMB|10|mound|soldier|r1	sample	2018-07-24	EMB	10	mound	soldier	49	0	0
2018-07-24|EMB|10|mound|worker|r1	sample	2018-07-24	EMB	10	mound	worker	119	0	0
2018-07-24|EMB|11|trail|soldier|r1	sample	2018-07-24	EMB	11	trail	soldier	82	0	0
2018-07-24|EMB|11|trail|worker|r1	sample	2018-07-24	EMB	11	trail	worker	114	5	4.386
2018-07-24|EMB|11|mound|soldier|r1	sample	2018-07-24	EMB	11	mound	soldier	112	0	0
2018-07-24|EMB|11|mound|worker|r1	sample	2018-07-24	EMB	11	mound	worker	46	0	0
2018-07-24|EMB|12|trail|soldier|r1	sample	2018-07-24	EMB	12	trail	soldier	40	0	0
2018-07-24|EMB|12|trail|worker|r1	sample	2018-07-24	EMB	12	trail	worker	242	7	2.893
2018-07-24|EMB|12|mound|soldier|r1	sample	2018-07-24	EMB	12	mound	soldier	32	0	0
2018-07-24|EMB|12|mound|worker|r1	sample	2018-07-24	EMB	12	mound	worker	56	0	0
2018-07-24|EMB|13|trail|soldier|r1	sample	2018-07-24	EMB	13	trail	soldier	13	0	0
2018-07-24|EMB|13|trail|worker|r1	sample	2018-07-24	EMB	13	trail	worker	43	0	0
2018-07-24|EMB|13|mound|soldier|r1	sample	2018-07-24	EMB	13	mound	soldier	24	0	0
2018-07-24|EMB|13|mound|worker|r1	sample	2018-07-24	EMB	13	mound	worker	58	0	0
2018-08-06|EMB|8|trail|worker|r1	sample	2018-08-06	EMB	8	trail	worker	283	1	0.353
2018-08-06|EMB|8|trail|worker|r2	sample	2018-08-06	EMB	8	trail	worker	435	162	37.241
2018-08-06|EMB|9|trail|soldier|r1	sample	2018-08-06	EMB	9	trail	soldier	23	0	0
2018-08-06|EMB|9|trail|worker|r1	sample	2018-08-06	EMB	9	trail	worker	134	0	0
2018-08-06|EMB|10|trail|soldier|r1	sample	2018-08-06	EMB	10	trail	soldier	54	0	0
2018-08-06|EMB|10|trail|worker|r1	sample	2018-08-06	EMB	10	trail	worker	260	1	0.385
2018-08-06|EMB|10|mound|soldier|r1	sample	2018-08-06	EMB	10	mound	soldier	46	0	0
2018-08-06|EMB|10|mound|worker|r1	sample	2018-08-06	EMB	10	mound	worker	137	0	0
2018-08-06|EMB|11|trail|soldier|r1	sample	2018-08-06	EMB	11	trail	soldier	88	0	0
2018-08-06|EMB|11|trail|worker|r1	sample	2018-08-06	EMB	11	trail	worker	110	5	4.545
2018-08-06|EMB|11|mound|soldier|r1	sample	2018-08-06	EMB	11	mound	soldier	112	0	0
2018-08-06|EMB|11|mound|worker|r1	sample	2018-08-06	EMB	11	mound	worker	178	0	0
2018-08-06|EMB|12|trail|soldier|r1	sample	2018-08-06	EMB	12	trail	soldier	24	0	0
2018-08-06|EMB|12|trail|worker|r1	sample	2018-08-06	EMB	12	trail	worker	13	1	7.692
2018-08-06|EMB|12|mound|soldier|r1	sample	2018-08-06	EMB	12	mound	soldier	15	0	0
2018-08-06|EMB|12|mound|worker|r1	sample	2018-08-06	EMB	12	mound	worker	28	0	0
2018-08-06|EMB|13|trail|soldier|r1	sample	2018-08-06	EMB	13	trail	soldier	17	0	0
2018-08-06|EMB|13|trail|worker|r1	sample	2018-08-06	EMB	13	trail	worker	39	0	0
2018-08-06|EMB|13|mound|soldier|r1	sample	2018-08-06	EMB	13	mound	soldier	12	0	0
2018-08-06|EMB|13|mound|worker|r1	sample	2018-08-06	EMB	13	mound	worker	56	0	0
2018-08-06|EMB|13|mound|soldier|r2	sample	2018-08-06	EMB	13	mound	soldier	11	0	0
2018-08-06|EMB|13|mound|worker|r2	sample	2018-08-06	EMB	13	mound	worker	47	0	0
2018-09-03|EMB|8|trail|worker|r1	sample	2018-09-03	EMB	8	trail	worker	126	1	0.794
2018-09-03|EMB|8|trail|worker|r2	sample	2018-09-03	EMB	8	trail	worker	327	20	6.116
2018-09-03|EMB|8|mound|soldier|r1	sample	2018-09-03	EMB	8	mound	soldier	112	0	0
2018-09-03|EMB|8|mound|worker|r1	sample	2018-09-03	EMB	8	mound	worker	124	0	0
2018-09-03|EMB|10|trail|soldier|r1	sample	2018-09-03	EMB	10	trail	soldier	66	0	0
2018-09-03|EMB|10|trail|worker|r1	sample	2018-09-03	EMB	10	trail	worker	386	16	4.145
2018-09-03|EMB|10|mound|soldier|r1	sample	2018-09-03	EMB	10	mound	soldier	7	0	0
2018-09-03|EMB|10|mound|worker|r1	sample	2018-09-03	EMB	10	mound	worker	30	0	0
2018-09-03|EMB|11|trail|soldier|r1	sample	2018-09-03	EMB	11	trail	soldier	58	0	0
2018-09-03|EMB|11|trail|worker|r1	sample	2018-09-03	EMB	11	trail	worker	114	0	0
2018-09-03|EMB|12|trail|soldier|r1	sample	2018-09-03	EMB	12	trail	soldier	89	0	0
2018-09-03|EMB|12|trail|worker|r1	sample	2018-09-03	EMB	12	trail	worker	335	12	3.582
2018-09-03|EMB|12|mound|soldier|r1	sample	2018-09-03	EMB	12	mound	soldier	69	0	0
2018-09-03|EMB|12|mound|worker|r1	sample	2018-09-03	EMB	12	mound	worker	90	0	0
2018-09-24|EMB|8|trail|soldier|r1	sample	2018-09-24	EMB	8	trail	soldier	211	5	2.37
2018-09-24|EMB|8|trail|worker|r1	sample	2018-09-24	EMB	8	trail	worker	422	23	5.45
2018-09-24|EMB|8|mound|soldier|r1	sample	2018-09-24	EMB	8	mound	soldier	84	0	0
2018-09-24|EMB|8|mound|worker|r1	sample	2018-09-24	EMB	8	mound	worker	116	0	0
2018-09-24|EMB|9|trail|soldier|r1	sample	2018-09-24	EMB	9	trail	soldier	112	0	0
2018-09-24|EMB|9|trail|worker|r1	sample	2018-09-24	EMB	9	trail	worker	145	0	0
2018-09-24|EMB|9|mound|soldier|r1	sample	2018-09-24	EMB	9	mound	soldier	25	0	0
2018-09-24|EMB|9|mound|worker|r1	sample	2018-09-24	EMB	9	mound	worker	97	0	0
2018-09-24|EMB|10|trail|soldier|r1	sample	2018-09-24	EMB	10	trail	soldier	38	0	0
2018-09-24|EMB|10|trail|worker|r1	sample	2018-09-24	EMB	10	trail	worker	223	2	0.897
2018-09-24|EMB|10|mound|soldier|r1	sample	2018-09-24	EMB	10	mound	soldier	35	0	0
2018-09-24|EMB|10|mound|worker|r1	sample	2018-09-24	EMB	10	mound	worker	52	0	0
2018-09-24|EMB|11|trail|soldier|r1	sample	2018-09-24	EMB	11	trail	soldier	90	0	0
2018-09-24|EMB|11|trail|worker|r1	sample	2018-09-24	EMB	11	trail	worker	315	3	0.952
2018-09-24|EMB|12|trail|soldier|r1	sample	2018-09-24	EMB	12	trail	soldier	80	0	0
2018-09-24|EMB|12|trail|worker|r1	sample	2018-09-24	EMB	12	trail	worker	306	3	0.98
2018-09-24|EMB|12|mound|soldier|r1	sample	2018-09-24	EMB	12	mound	soldier	56	0	0
2018-09-24|EMB|12|mound|worker|r1	sample	2018-09-24	EMB	12	mound	worker	118	0	0
2018-10-08|UFT|14|trail|soldier|r1	sample	2018-10-08	UFT	14	trail	soldier	110	0	0
2018-10-08|UFT|14|trail|worker|r1	sample	2018-10-08	UFT	14	trail	worker	411	3	0.73
2018-10-08|UFT|14|mound|soldier|r1	sample	2018-10-08	UFT	14	mound	soldier	146	0	0
2018-10-08|UFT|14|mound|worker|r1	sample	2018-10-08	UFT	14	mound	worker	422	0	0
2018-10-08|UFT|15|trail|soldier|r1	sample	2018-10-08	UFT	15	trail	soldier	126	0	0
